com.samsung.shealth.tracker.floors_day_summary,6302031,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,d5bf650f-6683-4be9-8a7e-9af1fac80c71.binning_data.json,62820030,2024-11-11 21:43:39.116,2024-10-24 04:58:32.252,8,2,eyJR0JcLIT,com.sec.android.app.shealth,d5bf650f-6683-4be9-8a7e-9af1fac80c71,1729728000000,
62810050,,62810050,2024-10-24 04:58:32.414,2024-10-24 04:58:32.414,12,1,eyJR0JcLIT,com.sec.android.app.shealth,1c399f4d-1254-4957-98c6-35b568e66e77,1712275200000,
62810050,,62810050,2024-10-24 04:58:32.440,2024-10-24 04:58:32.440,2,1,eyJR0JcLIT,com.sec.android.app.shealth,acdb9ec1-2d1d-4d43-ba08-20e4e665324b,1690934400000,
62810050,,62810050,2024-10-24 04:58:32.476,2024-10-24 04:58:32.476,4,1,eyJR0JcLIT,com.sec.android.app.shealth,27cb1e2b-06b9-431a-ad6a-13aef3ce6675,1708819200000,
62810050,,62810050,2024-10-24 04:58:32.484,2024-10-24 04:58:32.484,8,1,eyJR0JcLIT,com.sec.android.app.shealth,96a4d60c-37ea-441e-be13-127e0eb1f930,1694390400000,
62810050,,62810050,2024-10-24 04:58:32.763,2024-10-24 04:58:32.763,3,1,eyJR0JcLIT,com.sec.android.app.shealth,b98c5ae1-9b0a-48b3-ad90-e2806063f2b6,1715731200000,
62810050,,62810050,2024-10-24 04:58:33.292,2024-10-24 04:58:33.292,13,1,eyJR0JcLIT,com.sec.android.app.shealth,7d24b2f9-f590-4043-8ac8-8fcf25700204,1719792000000,
62810050,,62810050,2024-10-24 04:58:33.835,2024-10-24 04:58:33.835,5,1,eyJR0JcLIT,com.sec.android.app.shealth,bb94a72a-059e-4885-b8e2-a4696884f373,1701302400000,
62810050,,62810050,2024-10-24 04:58:33.852,2024-10-24 04:58:33.852,5,1,eyJR0JcLIT,com.sec.android.app.shealth,ab9e0678-8ef0-49b5-bdc5-aa9637b3302d,1708214400000,
62810050,,62810050,2024-10-24 04:58:33.870,2024-10-24 04:58:33.870,10,1,eyJR0JcLIT,com.sec.android.app.shealth,3b61567e-65ee-4778-bed0-1a518fdee28e,1711670400000,
62810050,,62810050,2024-10-24 04:58:33.907,2024-10-24 04:58:33.907,17,1,eyJR0JcLIT,com.sec.android.app.shealth,7ff05e16-79f7-48cb-ad92-cc78f31aa7a5,1705968000000,
62810050,,62810050,2024-10-24 04:58:34.316,2024-10-24 04:58:34.316,5,1,eyJR0JcLIT,com.sec.android.app.shealth,b19b39b7-7f77-45ed-9490-d49765aa55d3,1709424000000,
62810050,,62810050,2024-10-24 04:58:34.339,2024-10-24 04:58:34.339,1,1,eyJR0JcLIT,com.sec.android.app.shealth,b5f43ba4-498a-44e2-a4de-55accff5599c,1702512000000,
