com.samsung.shealth.tracker.pedometer_day_summary,6302031,6
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,5541,431d749d-6a40-4b3b-8c89-e9895b1a2ca1.binning_data.json,3146092,6000,,61,2023-07-14 21:57:22.095,com.sec.android.app.shealth,2023-07-14 21:57:22.095,,1.3203303,4153.8813,274.2099,5480,MPNPO0O1wv,com.sec.android.app.shealth,0,431d749d-6a40-4b3b-8c89-e9895b1a2ca1.achievement.json,431d749d-6a40-4b3b-8c89-e9895b1a2ca1,1689120000000,
,3732,521b20f9-6fcb-499a-bee5-19a66985e8d9.binning_data.json,2071564,6000,,35,2023-07-14 21:57:22.098,com.sec.android.app.shealth,2023-07-14 21:57:22.098,,1.3573351,2811.8076,183.60977,3697,MPNPO0O1wv,com.sec.android.app.shealth,0,521b20f9-6fcb-499a-bee5-19a66985e8d9.achievement.json,521b20f9-6fcb-499a-bee5-19a66985e8d9,1689206400000,
,5279,167b8f77-90c9-4e6e-ad20-6648e68e7c27.binning_data.json,2915181,6000,,96,2023-07-15 04:00:03.816,com.sec.android.app.shealth,2023-07-14 21:57:22.105,,1.3699636,3993.6926,267.33966,5183,MPNPO0O1wv,com.sec.android.app.shealth,0,167b8f77-90c9-4e6e-ad20-6648e68e7c27.achievement.json,167b8f77-90c9-4e6e-ad20-6648e68e7c27,1689292800000,
,2538,9068158b-73c8-496e-a9e0-d45406372d97.binning_data.json,1399413,6000,,23,2023-07-15 04:00:02.236,com.sec.android.app.shealth,2023-07-15 04:00:02.236,,1.3859807,1939.5599,125.98,2515,KKMhhPrdKR,com.sec.android.app.shealth,0,9068158b-73c8-496e-a9e0-d45406372d97.achievement.json,9068158b-73c8-496e-a9e0-d45406372d97,1689292800000,
,4116,b1cdb49d-12b2-4849-a08e-dd5c285926f6.binning_data.json,2368959,6000,,1,2023-07-17 21:53:25.469,com.sec.android.app.shealth,2023-07-15 04:21:31.569,b1cdb49d-12b2-4849-a08e-dd5c285926f6.source_info.json,1.3096933,3102.6104,201.08997,4115,VfS0qUERdZ,com.sec.android.app.shealth,0,b1cdb49d-12b2-4849-a08e-dd5c285926f6.achievement.json,b1cdb49d-12b2-4849-a08e-dd5c285926f6,1689379200000,
,3858,7a030550-7e73-4e9f-80ac-f8622fdd9c8b.binning_data.json,2223918,6000,,0,2023-07-18 04:00:00.997,com.sec.android.app.shealth,2023-07-16 04:00:02.493,,1.3090316,2911.18,187.87999,3858,KKMhhPrdKR,com.sec.android.app.shealth,0,7a030550-7e73-4e9f-80ac-f8622fdd9c8b.achievement.json,7a030550-7e73-4e9f-80ac-f8622fdd9c8b,1689379200000,
,1436,203c537b-9fe5-423f-87f1-f5c02eded08d.binning_data.json,822660,6000,,1,2023-07-16 04:00:03.440,com.sec.android.app.shealth,2023-07-16 04:00:03.440,,1.3081475,1076.1615,71.96002,1435,MPNPO0O1wv,com.sec.android.app.shealth,0,203c537b-9fe5-423f-87f1-f5c02eded08d.achievement.json,203c537b-9fe5-423f-87f1-f5c02eded08d,1689379200000,
,1770,1bb39209-9993-4c70-aed7-5eaef220a6c4.binning_data.json,1037119,6000,,23,2023-07-17 21:53:25.446,com.sec.android.app.shealth,2023-07-16 04:10:36.591,1bb39209-9993-4c70-aed7-5eaef220a6c4.source_info.json,1.2725246,1319.7599,87.01993,1747,VfS0qUERdZ,com.sec.android.app.shealth,0,1bb39209-9993-4c70-aed7-5eaef220a6c4.achievement.json,1bb39209-9993-4c70-aed7-5eaef220a6c4,1689465600000,
,1288,693e20e4-6513-4353-92b5-a0b79fb79ced.binning_data.json,760471,6000,,0,2023-07-18 04:00:01.013,com.sec.android.app.shealth,2023-07-17 04:00:01.346,,1.2664248,963.08,62.15,1288,KKMhhPrdKR,com.sec.android.app.shealth,0,693e20e4-6513-4353-92b5-a0b79fb79ced.achievement.json,693e20e4-6513-4353-92b5-a0b79fb79ced,1689465600000,
,924,8508d3d9-af62-48cd-a5e4-bd33017bdbab.binning_data.json,535948,6000,,24,2023-07-18 04:00:01.760,com.sec.android.app.shealth,2023-07-17 04:00:02.606,,1.2791518,685.55994,46.509926,900,MPNPO0O1wv,com.sec.android.app.shealth,0,8508d3d9-af62-48cd-a5e4-bd33017bdbab.achievement.json,8508d3d9-af62-48cd-a5e4-bd33017bdbab,1689465600000,
,13007,39d5f07f-d4dd-49b6-a604-5d7b40b76579.binning_data.json,7575140,6000,,54,2023-07-18 03:58:51.766,com.sec.android.app.shealth,2023-07-17 04:33:07.412,39d5f07f-d4dd-49b6-a604-5d7b40b76579.source_info.json,1.2902482,9773.8125,621.33954,12953,VfS0qUERdZ,com.sec.android.app.shealth,0,39d5f07f-d4dd-49b6-a604-5d7b40b76579.achievement.json,39d5f07f-d4dd-49b6-a604-5d7b40b76579,1689552000000,
,10974,ee3beb15-b87f-47df-9ed3-1df72c2c3239.binning_data.json,6480374,6000,,23,2023-07-18 04:00:01.043,com.sec.android.app.shealth,2023-07-18 04:00:01.043,,1.2719605,8242.78,520.3,10951,KKMhhPrdKR,com.sec.android.app.shealth,0,ee3beb15-b87f-47df-9ed3-1df72c2c3239.achievement.json,ee3beb15-b87f-47df-9ed3-1df72c2c3239,1689552000000,
,6285,6bff3036-b531-4e91-b2d4-5babf4208697.binning_data.json,3566885,6000,,56,2023-07-18 04:00:01.794,com.sec.android.app.shealth,2023-07-18 04:00:01.794,,1.3217556,4714.5513,313.43076,6229,MPNPO0O1wv,com.sec.android.app.shealth,0,6bff3036-b531-4e91-b2d4-5babf4208697.achievement.json,6bff3036-b531-4e91-b2d4-5babf4208697,1689552000000,
,3392,a177b8dc-ec45-4283-afca-0c8216d86628.binning_data.json,1920201,6000,,1,2023-07-19 03:53:20.656,com.sec.android.app.shealth,2023-07-18 04:17:40.614,a177b8dc-ec45-4283-afca-0c8216d86628.source_info.json,1.334188,2561.91,152.98,3391,VfS0qUERdZ,com.sec.android.app.shealth,0,a177b8dc-ec45-4283-afca-0c8216d86628.achievement.json,a177b8dc-ec45-4283-afca-0c8216d86628,1689638400000,
,3146,ca7274a3-fc2f-43d0-b715-a793b398d365.binning_data.json,1787466,6000,,0,2023-07-19 04:00:00.619,com.sec.android.app.shealth,2023-07-19 04:00:00.619,,1.3287916,2375.17,140.75,3146,KKMhhPrdKR,com.sec.android.app.shealth,0,ca7274a3-fc2f-43d0-b715-a793b398d365.achievement.json,ca7274a3-fc2f-43d0-b715-a793b398d365,1689638400000,
,505,dd015acf-b1b0-49eb-9267-4ccba92cd60f.binning_data.json,282394,6000,,1,2023-07-19 04:00:01.032,com.sec.android.app.shealth,2023-07-19 04:00:01.032,,1.347088,380.41,25.17,504,MPNPO0O1wv,com.sec.android.app.shealth,0,dd015acf-b1b0-49eb-9267-4ccba92cd60f.achievement.json,dd015acf-b1b0-49eb-9267-4ccba92cd60f,1689638400000,
,10557,c520170b-1145-4663-8a6f-24212c61555b.binning_data.json,6028069,6000,,55,2023-07-20 03:55:51.650,com.sec.android.app.shealth,2023-07-19 04:02:08.434,c520170b-1145-4663-8a6f-24212c61555b.source_info.json,1.3174812,7941.8687,525.95557,10502,VfS0qUERdZ,com.sec.android.app.shealth,0,c520170b-1145-4663-8a6f-24212c61555b.achievement.json,c520170b-1145-4663-8a6f-24212c61555b,1689724800000,
,5120,e954466f-a60d-40f4-b422-c78a01000113.binning_data.json,2968810,6000,,1,2023-07-20 04:01:03.625,com.sec.android.app.shealth,2023-07-20 04:01:03.625,,1.3029292,3868.15,252.45,5119,KKMhhPrdKR,com.sec.android.app.shealth,0,e954466f-a60d-40f4-b422-c78a01000113.achievement.json,e954466f-a60d-40f4-b422-c78a01000113,1689724800000,
,7357,8160a681-7eb2-458d-8dc0-f9688d62167e.binning_data.json,4176674,6000,,57,2023-07-20 04:01:04.041,com.sec.android.app.shealth,2023-07-20 04:01:04.041,,1.3192447,5510.0566,369.8765,7300,MPNPO0O1wv,com.sec.android.app.shealth,0,8160a681-7eb2-458d-8dc0-f9688d62167e.achievement.json,8160a681-7eb2-458d-8dc0-f9688d62167e,1689724800000,
,4747,67926b94-05e0-4afc-93d5-2c9e199d7950.binning_data.json,2692823,6000,,11,2023-07-21 03:44:15.366,com.sec.android.app.shealth,2023-07-20 04:07:56.157,67926b94-05e0-4afc-93d5-2c9e199d7950.source_info.json,1.3275796,3574.9377,233.86153,4736,VfS0qUERdZ,com.sec.android.app.shealth,0,67926b94-05e0-4afc-93d5-2c9e199d7950.achievement.json,67926b94-05e0-4afc-93d5-2c9e199d7950,1689811200000,
,1594,dcedb7f0-9352-4535-a46b-73fecee0d74e.binning_data.json,908544,6000,,0,2023-07-21 04:00:00.899,com.sec.android.app.shealth,2023-07-21 04:00:00.899,,1.3256042,1204.37,77.6,1594,KKMhhPrdKR,com.sec.android.app.shealth,0,dcedb7f0-9352-4535-a46b-73fecee0d74e.achievement.json,dcedb7f0-9352-4535-a46b-73fecee0d74e,1689811200000,
,3332,4fd75f13-cd80-4e4c-8f63-833512dd82e1.binning_data.json,1886150,6000,,11,2023-07-21 04:00:01.208,com.sec.android.app.shealth,2023-07-21 04:00:01.208,,1.3283176,2505.4072,165.0915,3321,MPNPO0O1wv,com.sec.android.app.shealth,0,4fd75f13-cd80-4e4c-8f63-833512dd82e1.achievement.json,4fd75f13-cd80-4e4c-8f63-833512dd82e1,1689811200000,
,7210,e18634fa-4a99-4439-bb12-e6ea34ec9f7b.binning_data.json,4079114,6000,,42,2023-07-22 04:03:38.782,com.sec.android.app.shealth,2023-07-21 04:03:27.417,e18634fa-4a99-4439-bb12-e6ea34ec9f7b.source_info.json,1.3289027,5420.746,352.57135,7168,VfS0qUERdZ,com.sec.android.app.shealth,0,e18634fa-4a99-4439-bb12-e6ea34ec9f7b.achievement.json,e18634fa-4a99-4439-bb12-e6ea34ec9f7b,1689897600000,
,1924,43861945-ab7c-48ce-995e-ddcaad26fbf8.binning_data.json,1068040,6000,,23,2023-07-22 04:00:01.269,com.sec.android.app.shealth,2023-07-22 04:00:01.269,,1.3782712,1472.05,94.19,1901,KKMhhPrdKR,com.sec.android.app.shealth,0,43861945-ab7c-48ce-995e-ddcaad26fbf8.achievement.json,43861945-ab7c-48ce-995e-ddcaad26fbf8,1689897600000,
,6134,6e1ef4da-7a59-434f-88d0-8e3960a6f09e.binning_data.json,3501115,6000,,37,2023-07-23 05:54:38.791,com.sec.android.app.shealth,2023-07-22 04:00:18.209,,1.3108153,4589.3154,300.76135,6097,MPNPO0O1wv,com.sec.android.app.shealth,0,6e1ef4da-7a59-434f-88d0-8e3960a6f09e.achievement.json,6e1ef4da-7a59-434f-88d0-8e3960a6f09e,1689897600000,
,3251,708f4155-6172-4bfb-a8bc-83248fd76ef8.binning_data.json,1843679,6000,,31,2023-07-23 04:00:03.982,com.sec.android.app.shealth,2023-07-22 05:33:22.560,708f4155-6172-4bfb-a8bc-83248fd76ef8.source_info.json,1.3343319,2460.08,159.47,3220,VfS0qUERdZ,com.sec.android.app.shealth,0,708f4155-6172-4bfb-a8bc-83248fd76ef8.achievement.json,708f4155-6172-4bfb-a8bc-83248fd76ef8,1689984000000,
,2579,c22d51a0-c327-4cb6-9ee5-ed7d01e40b3d.binning_data.json,1457390,6000,,19,2023-07-23 05:54:38.538,com.sec.android.app.shealth,2023-07-23 05:54:38.538,,1.342873,1957.09,126.08,2560,KKMhhPrdKR,com.sec.android.app.shealth,0,c22d51a0-c327-4cb6-9ee5-ed7d01e40b3d.achievement.json,c22d51a0-c327-4cb6-9ee5-ed7d01e40b3d,1689984000000,
,1633,77c0aba7-d615-407f-af4a-ce0219230a02.binning_data.json,937727,6000,,17,2023-07-23 05:54:38.788,com.sec.android.app.shealth,2023-07-23 05:54:38.788,,1.3025438,1221.4307,79.88994,1616,MPNPO0O1wv,com.sec.android.app.shealth,0,77c0aba7-d615-407f-af4a-ce0219230a02.achievement.json,77c0aba7-d615-407f-af4a-ce0219230a02,1689984000000,
,1778,0c915444-0591-49af-b990-57ce9305149c.binning_data.json,987800,6000,,4,2023-07-24 02:16:46.113,com.sec.android.app.shealth,2023-07-23 08:04:35.474,0c915444-0591-49af-b990-57ce9305149c.source_info.json,1.3686668,1351.97,87.090004,1774,VfS0qUERdZ,com.sec.android.app.shealth,0,0c915444-0591-49af-b990-57ce9305149c.achievement.json,0c915444-0591-49af-b990-57ce9305149c,1690070400000,
,1384,ba7e52ce-3a8f-44f9-b4b5-3c533f515259.binning_data.json,771176,6000,,0,2023-07-24 04:14:39.561,com.sec.android.app.shealth,2023-07-24 04:14:39.561,,1.3676119,1054.67,67.01,1384,KKMhhPrdKR,com.sec.android.app.shealth,0,ba7e52ce-3a8f-44f9-b4b5-3c533f515259.achievement.json,ba7e52ce-3a8f-44f9-b4b5-3c533f515259,1690070400000,
,1240,551750b5-f99f-4ca3-871d-af1f0ce64bc5.binning_data.json,685755,6000,,4,2023-07-24 04:14:39.944,com.sec.android.app.shealth,2023-07-24 04:14:39.944,,1.3635322,935.0502,60.5399,1236,MPNPO0O1wv,com.sec.android.app.shealth,0,551750b5-f99f-4ca3-871d-af1f0ce64bc5.achievement.json,551750b5-f99f-4ca3-871d-af1f0ce64bc5,1690070400000,
,6655,31df5def-f260-4ab0-a428-00b61baf3eee.binning_data.json,3712194,6000,,61,2023-07-25 03:15:01.332,com.sec.android.app.shealth,2023-07-24 04:51:57.769,31df5def-f260-4ab0-a428-00b61baf3eee.source_info.json,1.3550993,5030.392,326.6228,6594,VfS0qUERdZ,com.sec.android.app.shealth,0,31df5def-f260-4ab0-a428-00b61baf3eee.achievement.json,31df5def-f260-4ab0-a428-00b61baf3eee,1690156800000,
,2351,d3771937-65fc-49f8-ae47-2283257ed625.binning_data.json,1324764,6000,,6,2023-07-25 04:31:35.732,com.sec.android.app.shealth,2023-07-25 04:31:35.732,,1.3445032,1781.15,115.009995,2345,KKMhhPrdKR,com.sec.android.app.shealth,0,d3771937-65fc-49f8-ae47-2283257ed625.achievement.json,d3771937-65fc-49f8-ae47-2283257ed625,1690156800000,
,4797,9e56cd28-5b70-4379-a74c-a942c7c7d3e5.binning_data.json,2671814,6000,,55,2023-07-25 04:31:36.071,com.sec.android.app.shealth,2023-07-25 04:31:36.071,,1.3539307,3617.4512,234.9331,4742,MPNPO0O1wv,com.sec.android.app.shealth,0,9e56cd28-5b70-4379-a74c-a942c7c7d3e5.achievement.json,9e56cd28-5b70-4379-a74c-a942c7c7d3e5,1690156800000,
,4432,8897d753-0a01-484e-871c-8e5c680be1ff.binning_data.json,2546097,6000,,15,2023-07-26 06:13:38.833,com.sec.android.app.shealth,2023-07-25 04:34:17.253,8897d753-0a01-484e-871c-8e5c680be1ff.source_info.json,1.3124015,3341.502,215.16031,4417,VfS0qUERdZ,com.sec.android.app.shealth,0,8897d753-0a01-484e-871c-8e5c680be1ff.achievement.json,8897d753-0a01-484e-871c-8e5c680be1ff,1690243200000,
,3113,a589dde4-76a5-4bfd-a423-16a31b72b28f.binning_data.json,1794294,6000,,12,2023-07-26 04:00:01.087,com.sec.android.app.shealth,2023-07-26 04:00:01.087,,1.3121592,2354.4,151.92,3101,KKMhhPrdKR,com.sec.android.app.shealth,0,a589dde4-76a5-4bfd-a423-16a31b72b28f.achievement.json,a589dde4-76a5-4bfd-a423-16a31b72b28f,1690243200000,
,2208,9fdd9b0d-0391-41a5-8017-8a4ed5ab2f43.binning_data.json,1258278,6000,,27,2023-07-27 04:00:01.483,com.sec.android.app.shealth,2023-07-26 04:00:01.304,,1.316277,1656.2426,107.7302,2181,MPNPO0O1wv,com.sec.android.app.shealth,0,9fdd9b0d-0391-41a5-8017-8a4ed5ab2f43.achievement.json,9fdd9b0d-0391-41a5-8017-8a4ed5ab2f43,1690243200000,
,6235,1799443d-6caf-41b2-86ee-618422179d9c.binning_data.json,3561167,6000,,15,2023-07-27 03:14:27.471,com.sec.android.app.shealth,2023-07-26 04:55:19.242,1799443d-6caf-41b2-86ee-618422179d9c.source_info.json,1.3127469,4674.9116,303.86215,6220,VfS0qUERdZ,com.sec.android.app.shealth,0,1799443d-6caf-41b2-86ee-618422179d9c.achievement.json,1799443d-6caf-41b2-86ee-618422179d9c,1690329600000,
