com.samsung.health.sleep_stage,6302031,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
,2023-07-16 18:18:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:21:00.000,e269e398-1a6a-4d11-83d8-65d6fe25dd0e,
,2023-07-16 18:21:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:24:00.000,b96f7d4c-5f56-4e1c-9877-e73efcf68a3c,
,2023-07-16 18:24:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:29:00.000,1da0519f-5427-4ad2-b987-b796134bcce2,
,2023-07-16 18:29:00.000,1f862ae7-6d7f-4eb0-80dd-8d7f37dd9ef4,,,2023-07-16 18:32:09.232,2023-07-16 18:32:09.232,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-07-16 18:30:00.000,d129c5f4-f487-4ffd-90b8-1d6e2f95f3fc,
,2023-08-01 00:10:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 01:07:00.000,599ffbe5-fbe3-4347-96d8-6751ab75a79e,
,2023-08-01 01:07:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 01:29:00.000,aabc0964-6269-4b3f-915b-700db6b93e82,
,2023-08-01 01:29:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 01:59:00.000,59c1ae9d-498e-4e43-a440-55fc0a8e52f5,
,2023-08-01 01:59:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 02:11:00.000,365c0202-b3de-4301-8af6-b5f54f69f5ee,
,2023-08-01 02:11:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 02:12:00.000,43a7df5b-e59d-4152-8475-e9d230f28f6b,
,2023-08-01 02:12:00.000,8e2507f7-0d66-4a79-9a83-5ad5b1019ea9,,,2023-08-01 02:34:27.782,2023-08-01 02:34:27.782,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-01 02:24:00.000,0f4e3a15-045a-4582-b8ca-9125d04b94fd,
,2023-08-07 22:21:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.776,2023-08-08 00:38:46.776,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 22:22:00.000,b904b0bd-0219-4df0-b424-e52532ce5533,
,2023-08-07 22:22:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.776,2023-08-08 00:38:46.776,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 22:23:00.000,36cc0303-8373-4980-b37f-6a7c134c73ff,
,2023-08-07 22:23:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.776,2023-08-08 00:38:46.776,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 22:36:00.000,a2d2b4d2-7395-43d4-915d-797f06f52dbf,
,2023-08-07 22:36:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.777,2023-08-08 00:38:46.777,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 22:42:00.000,a4feb85e-75b9-4c40-b4d7-cba89f5100b3,
,2023-08-07 22:42:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.777,2023-08-08 00:38:46.777,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 22:53:00.000,0efb13eb-8f59-4cf5-8e61-104b0e6abd9a,
,2023-08-07 22:53:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.777,2023-08-08 00:38:46.777,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 23:09:00.000,d2f3438a-caf4-44f3-b4b0-675b12e07c24,
,2023-08-07 23:09:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.777,2023-08-08 00:38:46.777,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 23:26:00.000,b45103e5-a916-413e-ad7a-73a59d2c23bd,
,2023-08-07 23:26:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.777,2023-08-08 00:38:46.777,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 23:28:00.000,e28d9ed5-fabf-4545-86b4-c3561d30f538,
,2023-08-07 23:28:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.778,2023-08-08 00:38:46.778,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-07 23:44:00.000,dd26de34-31d3-4e99-9dea-27513cfa081d,
,2023-08-07 23:44:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.778,2023-08-08 00:38:46.778,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-08 00:01:00.000,47b67dbf-b868-4a56-b1cb-78deda8db96a,
,2023-08-08 00:01:00.000,2bf34487-f99a-4e9c-a9b8-ae87e09c182e,,,2023-08-08 00:38:46.778,2023-08-08 00:38:46.778,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-08 00:19:00.000,ca253529-1180-4208-b2df-c18ba90ef090,
,2023-08-15 06:21:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.797,2023-08-15 11:55:28.797,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 06:46:00.000,df108fb6-c507-49bd-b9cc-ab8c211084f2,
,2023-08-15 06:46:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.797,2023-08-15 11:55:28.797,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:03:00.000,a9eeb52b-035a-4e55-a321-1526a3b72e64,
,2023-08-15 07:03:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.797,2023-08-15 11:55:28.797,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:05:00.000,8d5624df-75c1-41a3-90ca-36c7b71f41cc,
,2023-08-15 07:05:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.798,2023-08-15 11:55:28.798,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:09:00.000,9cb25225-16f5-47b6-8d2c-d53b5f20dbc2,
,2023-08-15 07:09:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.798,2023-08-15 11:55:28.798,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:10:00.000,ea6ebf53-f2b2-4d3c-a285-349cb670bcea,
,2023-08-15 07:10:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.798,2023-08-15 11:55:28.798,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:25:00.000,e1c17744-e75b-4c1b-a262-3e87aaf2c328,
,2023-08-15 07:25:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.798,2023-08-15 11:55:28.798,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:26:00.000,af9835a4-4af0-4526-a0e1-0a2c65c1ecdb,
,2023-08-15 07:26:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.798,2023-08-15 11:55:28.798,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:43:00.000,8d11ceaa-4d66-47dd-83fa-1db354eaad83,
,2023-08-15 07:43:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.799,2023-08-15 11:55:28.799,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 07:59:00.000,3fce0538-be7d-4440-b44b-bf67c6af4f1e,
,2023-08-15 07:59:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.799,2023-08-15 11:55:28.799,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:04:00.000,df4001bd-35cb-450e-9023-ecbc784f32c8,
,2023-08-15 08:04:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.799,2023-08-15 11:55:28.799,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:20:00.000,7f06a0be-c7d8-4556-89e5-f05f4221cf14,
,2023-08-15 08:20:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.799,2023-08-15 11:55:28.799,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:47:00.000,79c71680-24bd-45a0-80de-b4371962e9ea,
,2023-08-15 08:47:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.800,2023-08-15 11:55:28.800,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:48:00.000,470d71a0-01c0-414e-b148-38cfe3a9cc48,
,2023-08-15 08:48:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.800,2023-08-15 11:55:28.800,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:52:00.000,c6652003-27a2-41ec-aeb5-b2daaf274c11,
,2023-08-15 08:52:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.800,2023-08-15 11:55:28.800,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:54:00.000,ae1b8cdd-6f58-44d2-a3b0-73304612aba5,
,2023-08-15 08:54:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.800,2023-08-15 11:55:28.800,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 08:55:00.000,b7b2de90-db62-4ef7-967e-6318461cfb1e,
,2023-08-15 08:55:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.800,2023-08-15 11:55:28.800,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 09:43:00.000,07771d2f-14d9-455a-a045-6608af21bfa6,
,2023-08-15 09:43:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.801,2023-08-15 11:55:28.801,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 09:45:00.000,3aaaae72-67c1-436b-8066-7b392973ac3e,
,2023-08-15 09:45:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.801,2023-08-15 11:55:28.801,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 09:55:00.000,25938077-94be-438f-9e94-d6e377f91a93,
,2023-08-15 09:55:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.801,2023-08-15 11:55:28.801,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:10:00.000,11387273-e8ee-4d89-b667-48ade49b2bc7,
,2023-08-15 10:10:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.801,2023-08-15 11:55:28.801,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:11:00.000,11c199bd-ba90-481f-a0a8-1a1038653473,
,2023-08-15 10:11:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.802,2023-08-15 11:55:28.802,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:12:00.000,6b497434-c3ed-4808-8d32-a77ee8db994b,
,2023-08-15 10:12:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.802,2023-08-15 11:55:28.802,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:13:00.000,74197814-2078-479c-bbf9-6ca67cb917aa,
,2023-08-15 10:13:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.802,2023-08-15 11:55:28.802,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:24:00.000,751e79c9-f5da-414c-9804-0e8607d60ddd,
,2023-08-15 10:24:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.802,2023-08-15 11:55:28.802,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:26:00.000,4c2b76ac-df3b-4da2-92d3-472633a7b077,
,2023-08-15 10:26:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.802,2023-08-15 11:55:28.802,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:28:00.000,2dffade3-4f77-4e22-8994-61bd34cd7c93,
,2023-08-15 10:28:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.803,2023-08-15 11:55:28.803,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:29:00.000,d32fd3ab-3682-47b3-8cd2-3fc11d52be3c,
,2023-08-15 10:29:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.803,2023-08-15 11:55:28.803,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:36:00.000,8e54d3d2-1c80-4baa-9a45-42a148b7c2ed,
,2023-08-15 10:36:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.803,2023-08-15 11:55:28.803,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 10:37:00.000,71c859d4-c235-4599-9c87-03df04507fad,
,2023-08-15 10:37:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.803,2023-08-15 11:55:28.803,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:01:00.000,1e091035-c76b-49a3-8c79-a322db91aa4a,
,2023-08-15 11:01:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.804,2023-08-15 11:55:28.804,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:02:00.000,799b7651-e7d1-46a6-b061-fc3e7a154d9f,
,2023-08-15 11:02:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.804,2023-08-15 11:55:28.804,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:03:00.000,9945daf3-1c25-464f-afa8-e518c8a0f6cc,
,2023-08-15 11:03:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.804,2023-08-15 11:55:28.804,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:07:00.000,4e2d0d10-0818-40f2-8bbb-79c2c13ee01b,
,2023-08-15 11:07:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.804,2023-08-15 11:55:28.804,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:08:00.000,703990f9-ede6-4921-bad3-af73a2ad4522,
