com.samsung.health.height,6302031,5
create_sh_ver,start_time,custom,height,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,datauuid
,2023-06-28 22:15:41.635,,170.18,,2023-06-28 22:15:41.711,2023-06-28 22:15:41.711,UTC-0400,MPNPO0O1wv,com.sec.android.app.shealth,ea74889d-cbf3-48b0-b0f8-95238a79bf7e,
62610110,2024-01-31 15:33:15.456,,172.72,62610110,2024-01-31 15:33:15.479,2024-01-31 15:33:15.479,UTC-0500,sH3figesN6,com.sec.android.app.shealth,9f890ade-08d1-49ec-8a17-d0709cdc8505,
