com.samsung.shealth.report,6302031,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1625371200000,2021-07-12 19:10:41.426,2021-07-12 19:10:40.030,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,2b9aa461-4fc9-4deb-9e90-04b987ab0252,2b9aa461-4fc9-4deb-9e90-04b987ab0252.compressed_content.json,
America/New_York,1612069200000,2021-02-11 20:09:51.894,2021-02-11 20:09:51.385,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,15052f0d-1d22-4a87-855a-e4f5be01e4c7,15052f0d-1d22-4a87-855a-e4f5be01e4c7.compressed_content.json,
America/New_York,1603598400000,2020-11-01 20:09:14.158,2020-11-01 20:09:12.595,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,fe77cc8f-8dd5-4986-9630-2e82806aca74,fe77cc8f-8dd5-4986-9630-2e82806aca74.compressed_content.json,
America/New_York,1615698000000,2021-03-24 19:54:39.642,2021-03-24 19:54:33.924,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,8282b0a8-5b57-4e23-9cbc-7ceeca6eebe8,8282b0a8-5b57-4e23-9cbc-7ceeca6eebe8.compressed_content.json,
America/New_York,1609045200000,2021-01-04 20:21:27.872,2021-01-03 20:12:56.785,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,e5358cb2-7754-428b-bbad-db02e9ff2cf8,e5358cb2-7754-428b-bbad-db02e9ff2cf8.compressed_content.json,
America/New_York,1608440400000,2020-12-29 20:21:16.657,2020-12-27 20:09:15.779,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,93a1637a-a088-49ac-85f3-849b06b6c4b4,93a1637a-a088-49ac-85f3-849b06b6c4b4.compressed_content.json,
America/New_York,1617508800000,2021-04-16 19:09:21.228,2021-04-16 19:09:20.651,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,3e9e4976-735f-4ae2-a8cd-aaa252ebc667,3e9e4976-735f-4ae2-a8cd-aaa252ebc667.compressed_content.json,
America/New_York,1609650000000,2021-01-11 20:12:39.794,2021-01-10 20:33:15.821,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,81e5b8a8-47d4-423b-b921-88cfbf941494,81e5b8a8-47d4-423b-b921-88cfbf941494.compressed_content.json,
America/New_York,1601179200000,2020-10-05 19:15:01.963,2020-10-04 19:09:15.275,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,ea13fb4e-fd78-4c59-aa0a-5eb56fcca225,ea13fb4e-fd78-4c59-aa0a-5eb56fcca225.compressed_content.json,
America/New_York,1602993600000,2020-10-26 19:14:05.269,2020-10-25 19:09:49.800,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,96d7a3ea-d417-4d7d-bc6d-af182dbf6d3f,96d7a3ea-d417-4d7d-bc6d-af182dbf6d3f.compressed_content.json,
America/New_York,1616299200000,2021-03-28 19:35:18.946,2021-03-28 19:35:18.129,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,eb2cd66f-4cd7-408a-ad82-7ce65c7ad2d4,eb2cd66f-4cd7-408a-ad82-7ce65c7ad2d4.compressed_content.json,
America/New_York,1613278800000,2021-02-21 21:07:35.332,2021-02-21 21:07:34.630,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,16daaf12-0044-4e73-9407-f0e78da79638,16daaf12-0044-4e73-9407-f0e78da79638.compressed_content.json,
America/New_York,1601784000000,2020-10-12 19:09:16.981,2020-10-11 19:10:00.690,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,0b790b7b-172c-44e8-9e4d-1258242ed0c8,0b790b7b-172c-44e8-9e4d-1258242ed0c8.compressed_content.json,
America/New_York,1606626000000,2020-12-08 21:01:40.074,2020-12-06 20:47:34.675,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,23c66059-a2d6-4754-9469-425b65344c64,23c66059-a2d6-4754-9469-425b65344c64.compressed_content.json,
America/New_York,1628395200000,2021-08-21 19:09:17.076,2021-08-21 19:09:15.712,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,144fcdff-22c8-4e96-bfb6-00a0a6ada377,144fcdff-22c8-4e96-bfb6-00a0a6ada377.compressed_content.json,
America/New_York,1613883600000,2021-03-01 20:09:31.045,2021-03-01 20:09:30.149,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,e7117df4-479b-4574-85bb-2d7501a2b003,e7117df4-479b-4574-85bb-2d7501a2b003.compressed_content.json,
America/New_York,1605416400000,2020-11-28 20:09:21.561,2020-11-27 20:09:27.615,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,62c6784e-0af6-4afb-a26e-a809841c90b9,62c6784e-0af6-4afb-a26e-a809841c90b9.compressed_content.json,
America/New_York,1618113600000,2021-04-18 19:14:28.717,2021-04-18 19:14:28.065,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,5b02b2d0-9842-4b7d-80f4-abea1a553de3,5b02b2d0-9842-4b7d-80f4-abea1a553de3.compressed_content.json,
America/New_York,1604203200000,2020-11-09 20:22:27.513,2020-11-08 20:09:24.065,0,0,2,JFkyYd2pC4,X,com.sec.android.app.shealth,cff2c7cc-2657-4a6a-a916-24e698046a3c,cff2c7cc-2657-4a6a-a916-24e698046a3c.compressed_content.json,
