com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62900571,2025-01-20 22:00:00.000,,d584cd19-dd6e-43f5-b4fa-2909cb2ee7cf.binning_data.json,62900571,2025-01-20 23:15:00.402,2025-01-20 23:15:00.402,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-20 23:00:00.000,d584cd19-dd6e-43f5-b4fa-2909cb2ee7cf,
62900571,2025-01-20 23:00:00.000,,bbe64617-37df-4a21-88e2-1829d34979fa.binning_data.json,62900571,2025-01-21 00:13:13.048,2025-01-21 00:13:13.048,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-21 00:00:00.000,bbe64617-37df-4a21-88e2-1829d34979fa,
62900571,2025-01-21 00:00:00.000,,3fed40a8-3764-4191-a9f4-c3cdf454ae8c.binning_data.json,62900571,2025-01-21 00:30:20.388,2025-01-21 00:30:20.388,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-21 00:30:20.306,3fed40a8-3764-4191-a9f4-c3cdf454ae8c,
62900571,2025-01-22 04:00:00.000,,53c11842-413c-4202-b5f6-f3538450990c.binning_data.json,62900571,2025-01-22 05:15:00.420,2025-01-22 05:15:00.420,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 05:00:00.000,53c11842-413c-4202-b5f6-f3538450990c,
62900571,2025-01-22 05:00:00.000,,71a1ae36-2642-4c27-b37e-eae1415fb186.binning_data.json,62900571,2025-01-22 06:15:00.203,2025-01-22 06:15:00.203,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 06:00:00.000,71a1ae36-2642-4c27-b37e-eae1415fb186,
62900571,2025-01-22 06:00:00.000,,b7b4ceef-ac1f-4bc0-87ff-707877f703e1.binning_data.json,62900571,2025-01-22 07:15:01.193,2025-01-22 07:15:01.193,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 07:00:00.000,b7b4ceef-ac1f-4bc0-87ff-707877f703e1,
62900571,2025-01-22 07:00:00.000,,3d5d3af4-fa61-4e3a-80f8-5e27143d78c1.binning_data.json,62900571,2025-01-22 08:06:04.160,2025-01-22 08:06:04.160,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 08:00:00.000,3d5d3af4-fa61-4e3a-80f8-5e27143d78c1,
62900571,2025-01-22 08:00:00.000,,5e76941d-829c-420d-a314-9844be381b64.binning_data.json,62900571,2025-01-22 09:15:00.514,2025-01-22 09:15:00.514,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 09:00:00.000,5e76941d-829c-420d-a314-9844be381b64,
62900571,2025-01-22 09:00:00.000,,b992db35-f6e1-4e25-ad4f-8c37f5d0b1c3.binning_data.json,62900571,2025-01-22 10:15:01.027,2025-01-22 10:15:01.027,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 10:00:00.000,b992db35-f6e1-4e25-ad4f-8c37f5d0b1c3,
62900571,2025-01-22 10:00:00.000,,ab7487e5-7f07-4229-b5aa-88126f47ffb7.binning_data.json,62900571,2025-01-22 11:15:00.304,2025-01-22 11:15:00.304,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 11:00:00.000,ab7487e5-7f07-4229-b5aa-88126f47ffb7,
62900571,2025-01-22 11:00:00.000,,2460799e-0fa5-4e2c-869f-42c38fba2915.binning_data.json,62900571,2025-01-22 12:15:00.217,2025-01-22 12:15:00.217,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 12:00:00.000,2460799e-0fa5-4e2c-869f-42c38fba2915,
62900571,2025-01-22 12:00:00.000,,358b74ae-4dc1-4f74-86fd-a280199c7651.binning_data.json,62900571,2025-01-22 12:21:28.294,2025-01-22 12:21:28.294,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-22 12:21:28.268,358b74ae-4dc1-4f74-86fd-a280199c7651,
62900571,2025-01-27 06:00:00.000,,7259a80f-df22-400b-83db-81e1fd5fa14b.binning_data.json,62900571,2025-01-27 07:15:00.154,2025-01-27 07:15:00.154,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 07:00:00.000,7259a80f-df22-400b-83db-81e1fd5fa14b,
62900571,2025-01-27 07:00:00.000,,de7ca6be-8270-48e8-9699-322b37a8d476.binning_data.json,62900571,2025-01-27 08:14:59.159,2025-01-27 08:14:59.159,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 08:00:00.000,de7ca6be-8270-48e8-9699-322b37a8d476,
62900571,2025-01-27 08:00:00.000,,15b6141d-3707-4e84-8b7d-da86e8ac7b07.binning_data.json,62900571,2025-01-27 09:14:59.122,2025-01-27 09:14:59.122,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 09:00:00.000,15b6141d-3707-4e84-8b7d-da86e8ac7b07,
62900571,2025-01-27 09:00:00.000,,362b0c5e-8943-4e8d-b462-3fe6e01d1b6d.binning_data.json,62900571,2025-01-27 10:14:59.261,2025-01-27 10:14:59.261,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 10:00:00.000,362b0c5e-8943-4e8d-b462-3fe6e01d1b6d,
62900571,2025-01-27 10:00:00.000,,7b6a274a-86e3-44db-832c-5711c7ffe7bf.binning_data.json,62900571,2025-01-27 11:14:59.213,2025-01-27 11:14:59.213,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 11:00:00.000,7b6a274a-86e3-44db-832c-5711c7ffe7bf,
